title,lemmatized_text
Four Rooms,ted bellhop first night job hotel unusual guest place outrageous predicament seems evening room service serving one unbelievable happening another
Judgment Night,racing boxing match frank mike john rey get bargained wrong turn land directly path fallon vicious wise cracking drug lord accidentally witnessing fallon murder disloyal henchman four become unwilling prey savage game cat mouse mercilessly stalked urban jungle taut suspense drama
Life in Loops (A Megacities RMX),timo novotny label new project experimental music documentary film remix celebrated film megacities visually refined essay hidden face several world megacities leading austrian documentarist michael glawogger novotny complement material taken straight film edited yet unseen footage blend original shot unused glawogger sequence shot megacities cameraman wolfgang thaler tokyo alongside japanese metropolis life loop take u right atmosphere mexico city new york moscow bombay electrifying combination fascinating film image equally compelling soundtrack sofa surfer set u stunning audiovisual adventure across continent film also make original contribution discussion new trend documentary filmmaking written karlovy vary iff
Star Wars,princess leia captured held hostage evil imperial force effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo c rescue beautiful princess restore peace justice empire
Finding Nemo,nemo adventurous young clownfish unexpectedly taken great barrier reef home dentist office aquarium worrisome father marlin friendly forgetful fish dory bring nemo home meeting vegetarian shark surfer dude turtle hypnotic jellyfish hungry seagull along way
Forrest Gump,man low iq accomplished great thing life present significant historic event case far exceeding anyone imagined could despite achieved one true love eludes
American Beauty,lester burnham depressed suburban father mid life crisis decides turn hectic life around developing infatuation daughter attractive friend
Citizen Kane,newspaper magnate charles foster kane taken mother boy made ward rich industrialist result every well meaning tyrannical self destructive move make rest life appears way reaction deeply wounding event
Dancer in the Dark,selma czech immigrant verge blindness struggle make end meet son inherited genetic disorder suffer fate without expensive operation life get difficult selma learns cope love musical escaping life trouble even moment dreaming little number rhythmic beat surroundings
The Dark,ad le daughter sarah traveling welsh coastline see husband james sarah disappears different similar looking girl appears say died past time ad le try discover happened daughter tormented celtic mythology past
The Fifth Element,taxi driver unintentionally given task saving young girl part key ensure survival humanity
My Life Without Me,fatally ill mother two month live creates list thing want dy without telling family illness
The Endless Summer,bruce brown endless summer one first influential surf movie time film document american surfer mike hynson robert august travel world california winter back season surfing search perfect wave ultimately endless summer
Pirates of the Caribbean: The Curse of the Black Pearl,jack sparrow freewheeling century pirate quarrel rival pirate bent pillaging port royal governor daughter kidnapped sparrow decides help girl love save
Kill Bill: Vol. 1,assassin shot ruthless employer bill member assassination circle life plot vengeance
Jarhead,jarhead film u marine anthony swofford experience gulf war putting arduous boot camp swofford unit sent persian gulf eager fight forced stay back action swofford struggle possibility girlfriend cheating mental state deteriorates desire kill increase
9 Songs,matt young glaciologist soar across vast silent icebound immensity south pole recall love affair lisa meet mobbed rock concert vast music hall london brixton academy bed night end together period several month pursue mutual sexual passion whose inevitable stage unfold counterpoint nine live concert song
Apocalypse Now,height vietnam war captain benjamin willard sent dangerous mission officially exist ever exist goal locate eliminate mysterious green beret colonel named walter kurtz leading personal army illegal guerrilla mission enemy territory
Unforgiven,william munny retired ruthless killer turned gentle widower hog farmer help support two motherless child accepts one last bounty hunter mission find men brutalized prostitute joined former partner cocky greenhorn take corrupt sheriff
The Simpsons Movie,homer accidentally pollutes town water supply springfield encased gigantic dome epa simpson declared fugitive
Eternal Sunshine of the Spotless Mind,joel barish heartbroken girlfriend underwent procedure erase memory decides however watch memory fade away realises still love may late correct mistake
Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work way blood debt ghostly davy jones avoid eternal damnation
A History of Violence,average family thrust spotlight father commits seemingly self defense murder diner
2001: A Space Odyssey,humanity find mysterious object buried beneath lunar surface set find origin help hal world advanced super computer
Twelve Monkeys,year convict james cole reluctantly volunteer sent back time discover origin deadly virus wiped nearly earth population forced survivor underground community cole mistakenly sent instead arrested locked mental hospital meet psychiatrist dr kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army monkey thought responsible unleashing killer disease
